node_id,node_className,node_metrics,node_ast_wpdp,node_ast_cpdp,node_label
0,activemq-console/src/main/java/org/apache/activemq/console/command/AbstractAmqCommand.java,"[0.0, 10.0, 171.0, 5.0, 0.0, 2.0, 0.0, 18.0, 2.0, 18.0, 0.0, 6.0, 2.0, 7.0, 62.0, 1.0, 7.0, 17.0, 25.0, 7.0, 3.0, 6.0, 0.0, 49.0, 17.0, 11.0, 26.0, 88.0, 37.0, 0.7, 21.0, 63.0, 5.0, 46.0, 1.0, 7.0, 3.0, 61.0, 2.0, 1.0, 2.0, 1.0, 5.0, 2.71428571428571, 1.0, 10.0, 4.71428571428571, 1.0, 5.0, 2.42857142857143, 1.0, 4.0, 1.4, 0.0, 1.0, 1.0, 1.0, 32.0, 18.0, 1.0, 1.0]","[-2.9513211, -3.4940643, 0.11502941, -2.4038515, -3.4940643, 0.11502941, -3.3894744, -3.4269564, -2.9513211, -3.4940643, 0.11502941, -2.4038515, -3.4940643, 0.11502941, -3.3894744, -3.4269564, -3.7768593, -2.9513211, -3.6740866, -3.3290884, -3.1166914, -3.5842607, -3.316817, -3.1612453, -3.571885, -2.9513211, -3.4940643, -3.650419, -3.4940643, -3.8264124, -3.2026777, -2.4038515, -3.571885, -3.4940643, 0.11502941, -2.4038515, -3.571885, -3.8293164, -3.5842607, -2.4038515, -3.571885, -2.9513211, -2.9513211, -2.9513211]","[1.1725972, 1.3509243, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.1725972, 1.3509243, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.056935, 1.1725972, 1.4411972, 1.056935, 1.056935, 1.6437391, 1.056935, 1.056935, 1.056935, 1.1725972, 1.3509243, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.056935, 1.6437391, 1.056935, 1.056935, 1.056935, 1.1725972, 1.1725972, 1.1725972]",0
1,activemq-console/src/main/java/org/apache/activemq/console/command/AbstractCommand.java,"[0.0, 8.0, 123.0, 5.0, 0.0, 1.0, 1.0, 15.0, 3.0, 17.0, 0.0, 8.0, 3.0, 5.0, 57.0, 1.0, 5.0, 13.0, 17.0, 4.0, 2.0, 7.0, 1.0, 32.0, 13.0, 7.0, 17.0, 53.0, 24.0, 1.08, 13.0, 41.0, 5.0, 29.0, 0.0, 5.0, 3.0, 73.0, 1.0, 4.0, 2.0, 2.0, 7.0, 3.2, 1.0, 9.0, 3.6, 0.0, 5.0, 2.6, 1.0, 2.0, 1.28571428571429, 0.0, 2.0, 2.0, 2.0, 30.0, 28.0, 0.983739837398374, 0.5]","[-2.9513211, -3.4940643, -1.6138042, -3.4940643, 0.4883926, -2.9513211, -4.0603642, -3.8264124, -3.8293164, -3.4940643, -3.440739, -3.4269564, -2.9513211, -3.4940643, -3.650419, -3.650419, -3.650419, -3.571885, -3.4940643, -3.650419, -3.571885, -3.4940643, -3.440739, -4.260652, -3.9185274, -3.4940643, -4.260652, -4.260652, -4.644273, -1.074311, -2.9513211, -2.9513211]","[1.1725972, 1.056935, 1.3509243, 1.056935, 1.3509243, 1.056935, 1.056935, 1.1725972, 1.8063579, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.1725972, 1.3509243, 1.056935, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.056935, 1.1725972, 1.1725972]",0
2,activemq-console/src/main/java/org/apache/activemq/console/command/AbstractJmxCommand.java,"[0.0, 7.0, 136.0, 5.0, 0.0, 1.0, 1.0, 16.0, 2.0, 13.0, 0.0, 5.0, 2.0, 7.0, 56.0, 1.0, 7.0, 15.0, 20.0, 7.0, 2.0, 6.0, 0.0, 31.0, 15.0, 7.0, 20.0, 65.0, 26.0, 0.86, 16.0, 46.0, 5.0, 30.0, 0.0, 7.0, 2.0, 76.0, 2.0, 5.0, 1.0, 1.0, 7.0, 4.0, 2.0, 10.0, 3.14285714285714, 1.0, 9.0, 2.71428571428571, 1.0, 2.0, 1.11111111111111, 0.0, 1.0, 1.0, 1.0, 8.0, 8.0, 1.0, 1.0]","[-2.9513211, -2.9513211, -3.4940643, 0.1185929, -0.3977938, 0.1185929, -2.9513211, -2.9513211, -0.3977938, -2.9513211, -3.4940643, -2.7710507, -2.7710507, -1.6957076, -2.9513211, -3.5842607, -3.4940643, -3.1612453, -2.9513211, -3.4940643, -3.650419, -3.4940643, -3.8264124, -3.2026777, -2.4038515, -3.4940643, 0.1185929, -2.4038515, -3.571885, -3.8293164, -3.5842607, -0.3977938, -2.4038515, -3.571885]","[1.1725972, 1.1725972, 1.3509243, 1.056935, 1.056935, 1.056935, 1.1725972, 1.1725972, 1.056935, 1.1725972, 1.3509243, 1.056935, 1.056935, 1.056935, 1.1725972, 1.6437391, 1.3509243, 1.056935, 1.1725972, 1.3509243, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.056935, 1.6437391, 1.056935, 1.056935, 1.056935]",0
3,activemq-console/src/main/java/org/apache/activemq/console/command/AmqBrowseCommand.java,"[0.0, 29.0, 241.0, 17.0, 0.0, 4.0, 5.0, 29.0, 9.0, 53.0, 0.0, 15.0, 9.0, 3.0, 67.0, 1.0, 3.0, 26.0, 36.0, 3.0, 5.0, 20.0, 0.0, 106.0, 26.0, 12.0, 36.0, 143.0, 54.0, 0.47, 35.0, 90.0, 17.0, 64.0, 8.0, 3.0, 10.0, 53.0, 3.0, 0.0, 4.0, 1.0, 13.0, 7.33333333333333, 1.0, 16.0, 10.0, 1.0, 17.0, 9.33333333333333, 1.0, 3.0, 2.4, 0.0, 1.0, 1.0, 1.0, 76.0, 76.0, 1.0, 1.0]","[-2.9513211, -3.5842607, -3.4940643, -3.8264124, -2.4038515, -3.4940643, 0.11502941, -2.4038515, -3.6740866, -3.3290884, -3.1166914, -3.316817, -3.4940643, -3.440739, -4.260652, -3.4570723, -3.4940643, -3.440739, -4.260652, -3.4570723, -1.921962, 0.11502941, -3.4940643, -3.5300932, -1.921962, 0.11502941, -0.91302073, -0.46834072, -2.4038515, -3.1026406, -2.9513211, -3.4940643, -3.440739, -3.4940643, -3.8264124, -3.2026777, -2.4038515, -3.8293164, -4.0603642, -1.8562701, -3.4269564, -1.4465989, -3.4940643, -3.440739, -3.4940643, -3.8264124, -3.2026777, -2.4038515, -3.8293164, -4.0603642, -1.8562701, -3.4269564, -1.4465989, -3.4940643, -3.440739, -3.4940643, -3.8264124, -3.2026777, -2.4038515, -3.8293164, -4.0603642, -1.8562701, -1.4465989, -3.4940643, -3.650419, -3.4269564, -4.260652, -3.4570723, -3.4940643, -3.650419, -3.4269564, -4.260652, -3.4570723, -3.4940643, -3.650419, -3.4269564, -4.260652, -3.4570723, -3.4269564, -3.4269564, -3.4269564, -3.4940643, -3.440739, -4.260652, -3.4940643, -3.650419, -3.4269564, -3.4940643, -3.650419, -3.4269564, -3.4940643, -3.650419, -3.4269564, -1.074311, -2.9513211, -1.6138042]","[1.1725972, 1.6437391, 1.3509243, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.4411972, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.8934469, 1.1725972, 1.3509243, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.056935, 1.8063579, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.056935, 1.8063579, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.056935, 1.8063579, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.1725972, 1.056935]",0
4,activemq-console/src/main/java/org/apache/activemq/console/command/BrowseCommand.java,"[0.0, 24.0, 212.0, 17.0, 0.0, 3.0, 5.0, 26.0, 8.0, 44.0, 0.0, 13.0, 8.0, 3.0, 57.0, 1.0, 3.0, 23.0, 33.0, 3.0, 5.0, 20.0, 0.0, 93.0, 23.0, 9.0, 34.0, 126.0, 44.0, 0.45, 29.0, 78.0, 17.0, 56.0, 5.0, 3.0, 9.0, 63.0, 3.0, 0.0, 4.0, 1.0, 13.0, 6.33333333333333, 1.0, 13.0, 9.0, 1.0, 17.0, 8.33333333333333, 1.0, 3.0, 2.4, 0.0, 1.0, 1.0, 1.0, 76.0, 76.0, 1.0, 1.0]","[-2.9513211, -3.5842607, -3.4940643, -3.8264124, -3.4269564, -3.6740866, -3.3290884, -3.1166914, -1.2541493, -1.6957076, -3.316817, -3.6740866, -3.3290884, -3.1166914, -0.11380742, -2.2989764, -1.6957076, -3.316817, -0.46834072, -2.4038515, -3.1026406, -2.9513211, -3.4940643, -3.440739, -3.4940643, -3.8264124, -3.2026777, -2.4038515, -3.8293164, -4.0603642, -1.8562701, -3.4269564, -1.4465989, -3.4940643, -3.440739, -3.4940643, -3.8264124, -3.2026777, -2.4038515, -3.8293164, -4.0603642, -1.8562701, -3.4269564, -1.4465989, -3.4940643, -3.440739, -3.4940643, -3.8264124, -3.2026777, -2.4038515, -3.8293164, -4.0603642, -1.8562701, -1.4465989, -3.4940643, -3.650419, -3.4269564, -4.260652, -3.4570723, -3.4940643, -3.650419, -3.4269564, -4.260652, -3.4570723, -3.4940643, -3.650419, -3.4269564, -4.260652, -3.4570723, -3.4269564, -3.4269564, -3.4269564, -3.4940643, -3.440739, -4.260652, -3.4940643, -3.650419, -3.4269564, -3.4940643, -3.650419, -3.4269564, -3.4940643, -3.650419, -3.4269564, -1.074311, -2.9513211, -1.6138042]","[1.1725972, 1.6437391, 1.3509243, 1.056935, 1.056935, 1.4411972, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.4411972, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.8934469, 1.1725972, 1.3509243, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.056935, 1.8063579, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.056935, 1.8063579, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.056935, 1.8063579, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.1725972, 1.056935]",0
5,activemq-console/src/main/java/org/apache/activemq/console/command/BstatCommand.java,"[0.0, 21.0, 73.0, 3.0, 0.0, 3.0, 0.0, 3.0, 3.0, 32.0, 0.0, 9.0, 3.0, 1.0, 25.0, 1.0, 1.0, 3.0, 11.0, 1.0, 1.0, 3.0, 0.0, 30.0, 3.0, 3.0, 11.0, 41.0, 11.0, 0.61, 7.0, 22.0, 3.0, 19.0, 2.0, 1.0, 3.0, 100.0, 4.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 6.0, 6.0, 6.0, 3.0, 3.0, 3.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 24.0, 23.0, 0.671232876712329, 1.0]","[-2.9513211, -3.6740866, -3.3290884, -3.1166914, -3.316817, -3.4940643, -3.440739, -3.9505177, -3.4269564, -3.4269564, -3.4269564, -3.4269564, -3.4269564, -3.4269564]","[1.1725972, 1.4411972, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 3.1278594, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935]",0
6,activemq-console/src/main/java/org/apache/activemq/console/command/Command.java,"[0.0, 1.0, 29.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 6.0, 0.0, 5.0, 1.0, 1.0, 21.0, 1.0, 1.0, 1.0, 4.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 4.0, 5.0, 0.0, 4.2, 3.0, 4.0, 1.0, 3.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 3.0, 1.0, 1.0]",[-2.9513211],[1.1725972],0
7,activemq-console/src/main/java/org/apache/activemq/console/command/ListCommand.java,"[0.0, 6.0, 62.0, 2.0, 0.0, 1.0, 0.0, 3.0, 2.0, 10.0, 0.0, 4.0, 2.0, 2.0, 24.0, 1.0, 2.0, 3.0, 12.0, 2.0, 1.0, 2.0, 0.0, 17.0, 3.0, 2.0, 11.0, 31.0, 6.0, 0.77, 7.0, 17.0, 2.0, 13.0, 0.0, 2.0, 2.0, 50.0, 3.0, 0.0, 2.0, 1.0, 1.0, 1.0, 1.0, 6.0, 3.5, 1.0, 2.0, 1.5, 1.0, 1.0, 0.75, 0.0, 1.0, 1.0, 1.0, 17.0, 17.0, 1.0, 1.0]","[-2.9513211, -3.5842607, -3.4269564, -1.003631, 0.36003062, -1.6957076, -2.4038515, -3.1026406, -2.9513211, -1.6138042]","[1.1725972, 1.6437391, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.8934469, 1.1725972, 1.056935]",0
8,activemq-console/src/main/java/org/apache/activemq/console/command/PurgeCommand.java,"[0.0, 13.0, 183.0, 7.0, 0.0, 2.0, 0.0, 19.0, 3.0, 23.0, 0.0, 7.0, 3.0, 5.0, 55.0, 1.0, 5.0, 17.0, 33.0, 3.0, 3.0, 9.0, 2.0, 70.0, 17.0, 9.0, 35.0, 106.0, 32.0, 0.52, 22.0, 67.0, 7.0, 52.0, 1.0, 5.0, 4.0, 73.0, 3.0, 0.0, 3.0, 1.0, 5.0, 2.8, 1.0, 13.0, 7.8, 1.0, 9.0, 4.0, 1.0, 4.0, 2.14285714285714, 0.0, 1.0, 1.0, 1.0, 56.0, 50.0, 1.0, 1.0]","[-2.9513211, -3.5842607, -3.4940643, -3.8264124, -3.4269564, -3.6740866, -3.3290884, -3.1166914, -1.2541493, -1.6957076, -3.316817, -3.6740866, -3.3290884, -3.1166914, -3.316817, -3.4940643, -3.8264124, -0.11380742, -2.2989764, -1.6957076, -2.4038515, -3.1026406, -2.9513211, -0.10406398, -1.2648757, -1.074311, 0.29291615, -1.5732335, -3.1612453, -2.9513211, -0.10406398, -1.2648757, -3.6740866, -3.3290884, -3.1166914, -3.316817, -3.2026777, -1.074311, 0.29291615, -1.5732335, -3.1612453, -2.9513211, -3.4940643, -3.440739, -3.4940643, -3.8264124, -3.2026777, -2.4038515, -3.8293164, -4.0603642, -1.8562701, -3.4269564, -1.4465989, -3.4940643, -3.440739, -3.4940643, -3.8264124, -3.2026777, -2.4038515, -3.8293164, -4.0603642, -1.8562701, -3.4269564, -1.4465989, -2.9513211, -1.6138042]","[1.1725972, 1.6437391, 1.3509243, 1.056935, 1.056935, 1.4411972, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.4411972, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.8934469, 1.1725972, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.1725972, 1.056935, 1.056935, 1.4411972, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.1725972, 1.3509243, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.056935, 1.8063579, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.056935, 1.8063579, 1.056935, 1.056935, 1.056935, 1.1725972, 1.056935]",0
9,activemq-console/src/main/java/org/apache/activemq/console/command/QueryCommand.java,"[0.0, 28.0, 228.0, 18.0, 0.0, 4.0, 1.0, 25.0, 7.0, 42.0, 0.0, 10.0, 7.0, 3.0, 49.0, 1.0, 3.0, 22.0, 39.0, 3.0, 4.0, 21.0, 0.0, 122.0, 22.0, 13.0, 36.0, 158.0, 50.0, 0.31, 21.0, 86.0, 18.0, 64.0, 3.0, 3.0, 8.0, 46.0, 3.0, 1.0, 2.0, 1.0, 7.0, 4.33333333333333, 1.0, 15.0, 7.66666666666667, 1.0, 22.0, 8.66666666666667, 1.0, 2.0, 1.6, 0.0, 1.0, 1.0, 1.0, 86.0, 94.0, 0.964912280701754, 1.0]","[-4.644273, -4.644273, -4.644273, -4.644273, -4.644273, -4.644273, -2.9513211, -3.5842607, -1.2541493, -1.6957076, -3.4940643, -3.5300932, -1.2541493, -1.6957076, -0.91302073, -1.003631, -2.4038515, -3.1026406, -2.9513211, -3.4940643, -3.440739, -4.260652, -3.9185274, -3.4940643, -4.260652, -4.260652, -3.6765544, -3.4940643, -2.4038515, -1.5100405, -4.0603642, -1.8562701, -3.4269564, -1.4465989, -3.4940643, -3.440739, -4.260652, -3.9185274, -3.4940643, -4.260652, -4.260652, -3.6765544, -3.4940643, -2.4038515, -1.5100405, -4.0603642, -1.8562701, -3.4269564, -1.4465989, -3.4940643, -3.440739, -3.4940643, -3.8264124, -3.2026777, -2.4038515, -3.8293164, -4.0603642, -1.8562701, -3.4269564, -1.4465989, -3.4940643, -3.440739, -3.4940643, -3.8264124, -3.2026777, -2.4038515, -3.8293164, -4.0603642, -1.8562701, -3.4269564, -1.4465989, -3.4940643, -3.440739, -3.4940643, -3.8264124, -3.2026777, -2.4038515, -3.8293164, -4.0603642, -1.4150596, -3.4269564, -1.9119664, -2.9513211, -1.6138042]","[1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.1725972, 1.6437391, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.056935, 1.8934469, 1.1725972, 1.3509243, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.8063579, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 1.056935, 1.8063579, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.056935, 1.8063579, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.056935, 1.8063579, 1.056935, 1.056935, 1.056935, 1.3509243, 1.056935, 1.3509243, 1.056935, 1.056935, 1.056935, 1.056935, 1.8063579, 1.056935, 1.056935, 1.056935, 1.1725972, 1.056935]",0
