cfg_id,class_name,label,num_nodes
0,maven/jruby-rake-plugin/src/main/java/org/jruby/maven/AbstractJRubyMojo,0,153
1,maven/jruby-rake-plugin/src/main/java/org/jruby/maven/GemMojo,0,16
2,maven/jruby-rake-plugin/src/main/java/org/jruby/maven/InstallGemsMojo,0,9
3,maven/jruby-rake-plugin/src/main/java/org/jruby/maven/IRBMojo,0,17
4,maven/jruby-rake-plugin/src/main/java/org/jruby/maven/JRubyMojo,0,14
5,maven/jruby-rake-plugin/src/main/java/org/jruby/maven/RakeMojo,0,52
6,samples/compiler2/MyObjectTest,0,0
7,samples/compiler2/MyObjectTest2,0,0
9,spec/java_integration/fixtures/_funky/MyClass,0,5
10,spec/java_integration/fixtures/AnotherRunnable,0,0
11,spec/java_integration/fixtures/ArrayReceiver,0,23
12,spec/java_integration/fixtures/ArrayReturningInterface,0,0
13,spec/java_integration/fixtures/ArrayReturningInterfaceConsumer,0,7
14,spec/java_integration/fixtures/BeanLikeInterface,0,0
15,spec/java_integration/fixtures/BeanLikeInterfaceHandler,0,60
16,spec/java_integration/fixtures/BooleanReturningInterface,0,0
17,spec/java_integration/fixtures/BooleanReturningInterfaceConsumer,0,10
18,spec/java_integration/fixtures/ClassWithEnums,0,3
19,spec/java_integration/fixtures/ConcreteWithVirtualCall,0,8
20,spec/java_integration/fixtures/ConstantHoldingInterface,0,0
21,spec/java_integration/fixtures/CoreTypeMethods,0,249
22,spec/java_integration/fixtures/DescendantOfSingleMethodInterface,0,0
23,spec/java_integration/fixtures/JavaFields,0,82
24,spec/java_integration/fixtures/JavaIterable,0,19
25,spec/java_integration/fixtures/JavaTypeMethods,0,22
26,spec/java_integration/fixtures/MethodNames,0,72
27,spec/java_integration/fixtures/PackageConstructor,0,3
28,spec/java_integration/fixtures/PackageField,0,4
29,spec/java_integration/fixtures/PackageInstanceMethod,0,10
30,spec/java_integration/fixtures/PackageStaticMethod,0,4
31,spec/java_integration/fixtures/PrivateConstructor,0,3
32,spec/java_integration/fixtures/PrivateField,0,5
33,spec/java_integration/fixtures/PrivateInstanceMethod,0,5
34,spec/java_integration/fixtures/PrivateStaticMethod,0,4
35,spec/java_integration/fixtures/ProtectedConstructor,0,3
36,spec/java_integration/fixtures/ProtectedField,0,4
37,spec/java_integration/fixtures/ProtectedInstanceMethod,0,5
38,spec/java_integration/fixtures/ProtectedStaticMethod,0,4
39,spec/java_integration/fixtures/PublicConstructor,0,3
40,spec/java_integration/fixtures/PublicField,0,7
41,spec/java_integration/fixtures/ReturnsInterface,0,0
42,spec/java_integration/fixtures/ReturnsInterfaceConsumer,0,16
43,spec/java_integration/fixtures/SingleMethodInterface,0,0
44,spec/java_integration/fixtures/StaticMethodSelection,0,6
45,spec/java_integration/fixtures/ThrowExceptionOnCreate,0,12
46,spec/java_integration/fixtures/UsesDescendantOfSingleMethodInterface,0,10
47,spec/java_integration/fixtures/UsesSingleMethodInterface,0,113
48,spec/java_integration/fixtures/ValueReceivingInterface,0,0
49,spec/java_integration/fixtures/ValueReceivingInterfaceHandler,0,116
50,src/org/jruby/anno/AnnotationBinder,0,24
51,src/org/jruby/anno/Coercion,0,0
52,src/org/jruby/anno/CoercionType,0,36
53,src/org/jruby/anno/FrameField,0,66
54,src/org/jruby/anno/InvokerGenerator,0,109
55,src/org/jruby/anno/JavaMethodDescriptor,0,213
56,src/org/jruby/anno/JRubyClass,0,0
57,src/org/jruby/anno/JRubyConstant,0,0
58,src/org/jruby/anno/JRubyMethod,0,0
59,src/org/jruby/anno/JRubyModule,0,0
60,src/org/jruby/anno/TypePopulator,0,28
61,src/org/jruby/ast/AliasNode,0,33
62,src/org/jruby/ast/AndNode,0,62
63,src/org/jruby/ast/ArgAuxillaryNode,0,26
64,src/org/jruby/ast/ArgsCatNode,1,62
65,src/org/jruby/ast/ArgsNoArgNode,0,11
66,src/org/jruby/ast/ArgsNode,1,430
67,src/org/jruby/ast/ArgsPreOneArgNode,0,31
68,src/org/jruby/ast/ArgsPreTwoArgNode,0,39
69,src/org/jruby/ast/ArgsPushNode,0,57
70,src/org/jruby/ast/ArgumentNode,0,24
71,src/org/jruby/ast/ArrayNode,0,66
72,src/org/jruby/ast/AssignableNode,0,44
73,src/org/jruby/ast/AttrAssignNode,0,277
74,src/org/jruby/ast/AttrAssignOneArgNode,0,67
75,src/org/jruby/ast/AttrAssignThreeArgNode,0,84
76,src/org/jruby/ast/AttrAssignTwoArgNode,0,73
77,src/org/jruby/ast/BackRefNode,0,70
78,src/org/jruby/ast/BeginNode,0,44
79,src/org/jruby/ast/BignumNode,0,31
80,src/org/jruby/ast/BinaryOperatorNode,0,0
81,src/org/jruby/ast/BlockAcceptingNode,0,0
82,src/org/jruby/ast/BlockArgNode,1,28
83,src/org/jruby/ast/BlockNode,0,25
84,src/org/jruby/ast/BlockPassNode,1,43
85,src/org/jruby/ast/BreakNode,1,45
86,src/org/jruby/ast/CallManyArgsBlockNode,0,31
87,src/org/jruby/ast/CallManyArgsBlockPassNode,0,23
88,src/org/jruby/ast/CallManyArgsNode,0,30
89,src/org/jruby/ast/CallNoArgBlockNode,0,35
90,src/org/jruby/ast/CallNoArgBlockPassNode,0,20
91,src/org/jruby/ast/CallNoArgNode,0,63
92,src/org/jruby/ast/CallNode,0,149
93,src/org/jruby/ast/CallOneArgBlockNode,0,39
94,src/org/jruby/ast/CallOneArgBlockPassNode,0,39
95,src/org/jruby/ast/CallOneArgFixnumNode,0,50
96,src/org/jruby/ast/CallOneArgNode,0,47
97,src/org/jruby/ast/CallSpecialArgBlockNode,0,49
98,src/org/jruby/ast/CallSpecialArgBlockPassNode,0,49
99,src/org/jruby/ast/CallSpecialArgNode,0,56
100,src/org/jruby/ast/CallThreeArgBlockNode,0,47
101,src/org/jruby/ast/CallThreeArgBlockPassNode,0,47
102,src/org/jruby/ast/CallThreeArgNode,0,55
103,src/org/jruby/ast/CallTwoArgBlockNode,0,43
104,src/org/jruby/ast/CallTwoArgBlockPassNode,0,43
105,src/org/jruby/ast/CallTwoArgNode,0,51
106,src/org/jruby/ast/CaseNode,0,96
107,src/org/jruby/ast/ClassNode,0,100
108,src/org/jruby/ast/ClassVarAsgnNode,0,49
109,src/org/jruby/ast/ClassVarDeclNode,0,59
110,src/org/jruby/ast/ClassVarNode,0,67
111,src/org/jruby/ast/Colon2ConstNode,0,104
112,src/org/jruby/ast/Colon2ImplicitNode,0,44
113,src/org/jruby/ast/Colon2MethodNode,0,49
114,src/org/jruby/ast/Colon2Node,0,40
115,src/org/jruby/ast/Colon3Node,0,106
116,src/org/jruby/ast/ConstDeclNode,0,110
117,src/org/jruby/ast/ConstNode,0,86
118,src/org/jruby/ast/DAsgnNode,0,63
119,src/org/jruby/ast/DefinedNode,0,53
120,src/org/jruby/ast/DefnNode,0,105
121,src/org/jruby/ast/DefsNode,0,111
122,src/org/jruby/ast/DotNode,0,71
123,src/org/jruby/ast/DRegexpNode,0,62
124,src/org/jruby/ast/DStrNode,0,50
125,src/org/jruby/ast/DSymbolNode,0,40
126,src/org/jruby/ast/DVarNode,0,54
127,src/org/jruby/ast/DXStrNode,0,25
128,src/org/jruby/ast/EncodingNode,0,24
129,src/org/jruby/ast/EnsureNode,0,62
130,src/org/jruby/ast/EvStrNode,0,36
131,src/org/jruby/ast/executable/AbstractScript,2,1130
132,src/org/jruby/ast/executable/Script,2,0
133,src/org/jruby/ast/FalseNode,0,42
134,src/org/jruby/ast/FCallManyArgsBlockNode,0,20
135,src/org/jruby/ast/FCallManyArgsBlockPassNode,0,20
136,src/org/jruby/ast/FCallManyArgsNode,0,26
137,src/org/jruby/ast/FCallNoArgBlockNode,0,23
138,src/org/jruby/ast/FCallNoArgBlockPassNode,0,17
139,src/org/jruby/ast/FCallNoArgNode,0,28
140,src/org/jruby/ast/FCallNode,0,90
141,src/org/jruby/ast/FCallOneArgBlockNode,0,36
142,src/org/jruby/ast/FCallOneArgBlockPassNode,0,36
